timestamp,3cdaf029c87a002_write,3cdaf029c87a002_read,512e070e8eb32959_write,512e070e8eb32959_read,5b3ba363fb10d52f_write,5b3ba363fb10d52f_read,6181f76d6668aeb0_write,6181f76d6668aeb0_read,69948e3d245f62b7_write,69948e3d245f62b7_read,69f554c3f7f50a72_write,69f554c3f7f50a72_read,8861d1f6a0217629_write,8861d1f6a0217629_read,933ca51d2bb602b8_write,933ca51d2bb602b8_read,b92b49a4de72942d_write,b92b49a4de72942d_read
1760767450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767452,0,0,0,0,0,0,0,0,0,0,15,13,0,0,90,81,0,1
1760767454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767460,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6,3,9,2
1760767462,0,0,0,0,0,0,0,0,0,0,17,24,0,0,0,0,40,24
1760767464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,33
1760767466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1760767468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767470,0,0,0,0,0,0,0,0,0,0,3,6,0,0,4,3,4,7
1760767472,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,1,2
1760767474,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0
1760767476,0,0,0,0,0,0,0,0,0,0,25,24,0,0,0,0,0,0
1760767478,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0
1760767480,0,0,0,0,0,0,0,0,0,0,3,5,0,0,86,105,0,1
1760767482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767490,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,7,4
1760767492,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,40,24
1760767494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,29
1760767496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
